district,year,month,month_name,total_radiation_MJ_m2,radiation_above_15MJ_m2,percentage_above_15MJ,days_in_month
Kalutara,2013,12,December,484.17,360.22,74.4,31
Kalutara,2014,1,January,584.84,556.61,95.17,31
Kalutara,2014,2,February,615.14,615.14,100.0,28
Kalutara,2014,3,March,711.71,697.04,97.94,31
Kalutara,2014,4,April,599.92,572.5,95.43,30
Kalutara,2014,5,May,519.47,465.34,89.58,31
Kalutara,2014,6,June,509.04,450.34,88.47,30
Kalutara,2014,7,July,544.43,494.64,90.85,31
Kalutara,2014,8,August,516.09,387.18,75.02,31
Kalutara,2014,9,September,528.76,502.21,94.98,30
Kalutara,2014,10,October,473.05,332.4,70.27,31
Kalutara,2014,11,November,451.81,297.31,65.8,30
Kalutara,2014,12,December,421.79,347.67,82.43,31
Kalutara,2015,1,January,618.49,618.49,100.0,31
Kalutara,2015,2,February,585.9,571.8,97.59,28
Kalutara,2015,3,March,685.26,675.64,98.6,31
Kalutara,2015,4,April,611.69,585.7,95.75,30
Kalutara,2015,5,May,534.84,484.61,90.61,31
Kalutara,2015,6,June,498.2,359.0,72.06,30
Kalutara,2015,7,July,545.21,450.98,82.72,31
Kalutara,2015,8,August,555.0,517.26,93.2,31
Kalutara,2015,9,September,464.01,353.85,76.26,30
Kalutara,2015,10,October,477.02,334.33,70.09,31
Kalutara,2015,11,November,438.4,303.4,69.21,30
Kalutara,2015,12,December,489.7,366.3,74.8,31
Kalutara,2016,1,January,622.12,609.33,97.94,31
Kalutara,2016,2,February,607.47,595.36,98.01,29
Kalutara,2016,3,March,684.83,684.83,100.0,31
Kalutara,2016,4,April,640.86,640.86,100.0,30
Kalutara,2016,5,May,431.35,274.37,63.61,31
Kalutara,2016,6,June,506.32,451.9,89.25,30
Kalutara,2016,7,July,537.44,418.51,77.87,31
Kalutara,2016,8,August,585.44,585.44,100.0,31
Kalutara,2016,9,September,558.39,531.8,95.24,30
Kalutara,2016,10,October,587.38,574.8,97.86,31
Kalutara,2016,11,November,462.49,332.93,71.99,30
Kalutara,2016,12,December,581.77,509.41,87.56,31
Kalutara,2017,1,January,628.02,589.72,93.9,31
Kalutara,2017,2,February,594.93,562.75,94.59,28
Kalutara,2017,3,March,668.7,655.41,98.01,31
Kalutara,2017,4,April,640.31,640.31,100.0,30
Kalutara,2017,5,May,550.95,471.09,85.51,31
Kalutara,2017,6,June,527.15,426.01,80.81,30
Kalutara,2017,7,July,581.16,541.02,93.09,31
Kalutara,2017,8,August,556.63,490.88,88.19,31
Kalutara,2017,9,September,546.06,463.16,84.82,30
Kalutara,2017,10,October,526.76,468.33,88.91,31
Kalutara,2017,11,November,448.61,294.79,65.71,30
Kalutara,2017,12,December,556.55,517.38,92.96,31
Kalutara,2018,1,January,632.81,622.93,98.44,31
Kalutara,2018,2,February,595.54,582.29,97.78,28
Kalutara,2018,3,March,624.79,558.04,89.32,31
Kalutara,2018,4,April,608.53,608.53,100.0,30
Kalutara,2018,5,May,471.33,349.28,74.11,31
Kalutara,2018,6,June,514.56,433.52,84.25,30
Kalutara,2018,7,July,578.2,541.69,93.69,31
Kalutara,2018,8,August,588.51,546.96,92.94,31
Kalutara,2018,9,September,627.04,598.07,95.38,30
Kalutara,2018,10,October,517.95,431.7,83.35,31
Kalutara,2018,11,November,497.91,381.66,76.65,30
Kalutara,2018,12,December,564.78,511.72,90.61,31
Kalutara,2019,1,January,650.15,650.15,100.0,31
Kalutara,2019,2,February,576.14,561.32,97.43,28
Kalutara,2019,3,March,706.81,706.81,100.0,31
Kalutara,2019,4,April,606.93,559.72,92.22,30
Kalutara,2019,5,May,568.57,515.96,90.75,31
Kalutara,2019,6,June,518.78,455.37,87.78,30
Kalutara,2019,7,July,597.84,571.64,95.62,31
Kalutara,2019,8,August,486.05,336.13,69.16,31
Kalutara,2019,9,September,486.66,357.31,73.42,30
Kalutara,2019,10,October,454.54,295.5,65.01,31
Kalutara,2019,11,November,516.41,457.46,88.58,30
Kalutara,2019,12,December,499.68,344.36,68.92,31
Kalutara,2020,1,January,637.15,637.15,100.0,31
Kalutara,2020,2,February,640.49,640.49,100.0,29
Kalutara,2020,3,March,717.01,717.01,100.0,31
Kalutara,2020,4,April,658.93,658.93,100.0,30
Kalutara,2020,5,May,507.79,343.91,67.73,31
Kalutara,2020,6,June,537.92,475.38,88.37,30
Kalutara,2020,7,July,499.5,375.36,75.15,31
Kalutara,2020,8,August,603.46,513.42,85.08,31
Kalutara,2020,9,September,442.52,215.92,48.79,30
Kalutara,2020,10,October,621.11,621.11,100.0,31
Kalutara,2020,11,November,526.63,467.03,88.68,30
Kalutara,2020,12,December,535.88,456.37,85.16,31
Kalutara,2021,1,January,494.79,369.18,74.61,31
Kalutara,2021,2,February,619.6,619.6,100.0,28
Kalutara,2021,3,March,625.32,587.28,93.92,31
Kalutara,2021,4,April,650.18,650.18,100.0,30
Kalutara,2021,5,May,552.02,508.4,92.1,31
Kalutara,2021,6,June,536.81,447.87,83.43,30
Kalutara,2021,7,July,555.55,527.89,95.02,31
