district,year,month,total_radiation,radiation_above_threshold,percentage_above_threshold,record_count
Bandarawela,2018,8,621.4399999999999,561.0199999999999,90.27742018537589,31
Bandarawela,2018,9,626.31,598.52,95.562900161262,30
Bandarawela,2018,10,474.2899999999999,273.46000000000004,57.65670792131399,31
Bandarawela,2018,11,493.76,375.55999999999995,76.06124432922876,30
Bandarawela,2018,12,546.2800000000001,456.29,83.52676283224719,31
Bandarawela,2019,1,620.6399999999999,566.04,91.20262954369684,31
Bandarawela,2019,2,550.21,508.89,92.49014012831464,28
Bandarawela,2019,3,744.5899999999998,744.5899999999998,100.0,31
Bandarawela,2019,4,617.43,582.5899999999999,94.35725507344962,30
Bandarawela,2019,5,659.8799999999999,659.8799999999999,100.0,31
Bandarawela,2019,6,610.8699999999998,571.0099999999999,93.47488008905333,30
Bandarawela,2019,7,662.33,652.64,98.53698307490222,31
Bandarawela,2019,8,527.0,382.60999999999996,72.60151802656546,31
Bandarawela,2019,9,568.27,521.6700000000001,91.7996726907984,30
Bandarawela,2019,10,451.9000000000001,292.75000000000006,64.78203142288118,31
Bandarawela,2019,11,535.5599999999998,458.2199999999999,85.55904100380911,30
Bandarawela,2019,12,496.66999999999996,307.55,61.92240320534762,31
Bandarawela,2020,1,660.5099999999999,660.5099999999999,100.0,31
Bandarawela,2020,2,665.16,665.16,100.0,29
Bandarawela,2020,3,770.77,770.77,100.0,31
Bandarawela,2020,4,665.27,665.27,100.0,30
Bandarawela,2020,5,571.21,500.85,87.68228847534182,31
Bandarawela,2020,6,606.3800000000003,556.7200000000001,91.81041591081497,30
Bandarawela,2020,7,555.09,495.75000000000006,89.30984164730044,31
Bandarawela,2020,8,655.74,591.81,90.25070912251806,31
Bandarawela,2020,9,487.3399999999999,336.69000000000005,69.08729018754876,30
Bandarawela,2020,10,674.0200000000001,659.6600000000001,97.86949942138216,31
Bandarawela,2020,11,497.4700000000001,402.92,80.99382877359437,30
Bandarawela,2020,12,501.5399999999999,414.39,82.62351955975596,31
Bandarawela,2021,1,475.0799999999999,325.38,68.48951755493813,31
Bandarawela,2021,2,614.93,614.93,100.0,28
Bandarawela,2021,3,630.2599999999999,556.39,88.27944023101578,31
Bandarawela,2021,4,649.08,626.0800000000002,96.45652307881927,30
Bandarawela,2021,5,547.85,456.34,83.29652277083143,31
Bandarawela,2021,6,646.1300000000001,624.13,96.59511243867331,30
Bandarawela,2021,7,607.5200000000001,586.3300000000002,96.51204898604162,31
Bandarawela,2021,8,586.83,504.56,85.98060767172775,31
Bandarawela,2021,9,578.4099999999999,534.8699999999999,92.47246762676994,30
Bandarawela,2021,10,561.7700000000001,478.54,85.18432810580842,31
Bandarawela,2021,11,441.86000000000007,254.90999999999997,57.69021862128274,30
Bandarawela,2021,12,592.44,548.92,92.65410843292146,31
Bandarawela,2022,1,617.5299999999999,561.64,90.94942755817533,31
Bandarawela,2022,2,609.3100000000001,602.0600000000001,98.81012949073542,28
Bandarawela,2022,3,658.92,609.1999999999999,92.4543191889759,31
Bandarawela,2022,4,560.76,505.88,90.21328197446323,30
Bandarawela,2022,5,634.6299999999999,583.06,91.87400532593796,31
Bandarawela,2022,6,571.4,534.61,93.56142807140357,30
Bandarawela,2022,7,552.0099999999999,484.55999999999983,87.7810184598105,31
Bandarawela,2022,8,588.5100000000002,515.4899999999999,87.59239435183764,31
Bandarawela,2022,9,647.16,610.35,94.31207120341185,30
Bandarawela,2022,10,511.04999999999995,373.61000000000007,73.10634967224344,31
Bandarawela,2022,11,494.60999999999996,366.19,74.03610925779908,30
Bandarawela,2022,12,489.02000000000004,366.99,75.04601038812318,31
